PIC,RFID,NLISID,Visual ID,IssueDate,ManufactureDate,Colour,Status
NK509384,940 110035858091,NK509384ASU00231,CHAD 001,08/07/2024,08/07/2024,PURPLE,Unused
NK509384,940 110035858092,NK509384ASU00232,CHAD 002,08/07/2024,08/07/2024,PURPLE,Unused
NK509384,940 110035858093,NK509384ASU00233,CHAD 003,08/07/2024,08/07/2024,PURPLE,Unused
NK509384,940 110035858094,NK509384ASU00234,CHAD 004,08/07/2024,08/07/2024,PURPLE,Unused
NK509384,940 110035858095,NK509384ASU00235,CHAD 005,08/07/2024,08/07/2024,PURPLE,Unused
NK509384,940 110035858096,NK509384ASU00236,CHAD 006,08/07/2024,08/07/2024,PURPLE,Unused
NK509384,940 110035858097,NK509384ASU00237,CHAD 007,08/07/2024,08/07/2024,PURPLE,Unused
NK509384,940 110035858098,NK509384ASU00238,CHAD 008,08/07/2024,08/07/2024,PURPLE,Unused
NK509384,940 110035858099,NK509384ASU00239,CHAD 009,08/07/2024,08/07/2024,PURPLE,Unused
NK509384,940 110035858100,NK509384ASU00240,CHAD 010,08/07/2024,08/07/2024,PURPLE,Unused
NK509384,940 110034457821,NK509384ASU00171,CHAD 001,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457822,NK509384ASU00172,CHAD 002,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457823,NK509384ASU00173,CHAD 003,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457824,NK509384ASU00174,CHAD 004,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457825,NK509384ASU00175,CHAD 005,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457826,NK509384ASU00176,CHAD 006,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457827,NK509384ASU00177,CHAD 007,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457828,NK509384ASU00178,CHAD 008,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457829,NK509384ASU00179,CHAD 009,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457830,NK509384ASU00180,CHAD 010,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457831,NK509384ASU00181,CHAD 011,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457832,NK509384ASU00182,CHAD 012,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457833,NK509384ASU00183,CHAD 013,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457834,NK509384ASU00184,CHAD 014,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457835,NK509384ASU00185,CHAD 015,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457836,NK509384ASU00186,CHAD 016,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457837,NK509384ASU00187,CHAD 017,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457838,NK509384ASU00188,CHAD 018,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457839,NK509384ASU00189,CHAD 019,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110034457840,NK509384ASU00190,CHAD 020,08/07/2024,08/07/2024,RED,Unused
NK509384,940 110035484741,NK509384ASU00151,CHAD 001,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484742,NK509384ASU00152,CHAD 002,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484743,NK509384ASU00153,CHAD 003,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484744,NK509384ASU00154,CHAD 004,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484745,NK509384ASU00155,CHAD 005,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484746,NK509384ASU00156,CHAD 006,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484747,NK509384ASU00157,CHAD 007,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484748,NK509384ASU00158,CHAD 008,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484749,NK509384ASU00159,CHAD 009,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484750,NK509384ASU00160,CHAD 010,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484731,NK509384ASU00161,CHAD 011,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484732,NK509384ASU00162,CHAD 012,08/07/2024,08/07/2024,BLUE,Unused
NK509384,940 110035484733,NK509384ASU00163,CHAD 013,08/07/2024,08/07/2024,BLUE,Unused
